date,home_team,away_team,home_score,away_score,hc_line,hc_home,hc_away,ou_line,over,under
2018-05-05 17:55:00,New York Red Bulls,New York City,4,0,-0.5,1.92,1.98,+3,1.9100000000000001,1.97
2018-05-05 18:00:00,Minnesota United,Vancouver Whitecaps,1,0,-0.25,1.96,1.94,+2.75,1.9300000000000002,1.95
2018-05-05 19:55:00,Los Angeles FC,FC Dallas,1,1,-0.5,2.04,1.8599999999999999,+3,2.02,1.8599999999999999
2018-05-05 20:00:00,Seattle Sounders,Columbus Crew,0,0,-0.5,1.87,2.0300000000000002,+2.75,2.0,1.88
2018-05-06 00:30:00,Sporting Kansas City,Colorado Rapids,1,0,-1.25,1.98,1.92,+2.75,1.95,1.9300000000000002
2018-05-06 00:30:00,Houston Dynamo,Los Angeles Galaxy,3,2,-0.5,1.88,2.02,+3.25,2.0300000000000002,1.85
2018-05-06 00:30:00,Chicago Fire,Atlanta Utd,1,2,+0.25,1.96,1.94,+3,2.0,1.88
2018-05-06 02:30:00,San Jose Earthquakes,Portland Timbers,0,1,0,1.9300000000000002,1.97,+2.75,1.83,2.06
2018-05-09 23:30:00,Atlanta Utd,Sporting Kansas City,0,2,-0.75,1.8199999999999998,2.08,+3,1.99,1.8900000000000001
2018-05-09 23:30:00,Columbus Crew,Philadelphia Union,1,0,-0.75,1.9300000000000002,1.97,+2.75,1.83,2.05
2018-05-09 23:30:00,Toronto FC,Seattle Sounders,1,2,-1,1.94,1.96,+2.75,1.98,1.9
2018-05-10 00:30:00,Chicago Fire,Club de Foot Montreal,1,0,-0.75,2.0300000000000002,1.87,+3.25,2.06,1.8199999999999998
2018-05-10 02:00:00,Los Angeles FC,Minnesota United,2,0,-1.75,2.0300000000000002,1.88,+3.5,1.92,1.96
2018-05-12 02:30:00,Vancouver Whitecaps,Houston Dynamo,2,2,-0.25,1.99,1.92,+2.75,2.01,1.87
2018-05-12 18:00:00,Minnesota United,San Jose Earthquakes,1,3,-0.25,1.83,2.08,+3,1.96,1.9300000000000002
2018-05-12 19:00:00,Club de Foot Montreal,Philadelphia Union,0,2,-0.5,1.85,2.04,+2.75,1.88,1.99
