date,home_team,away_team,home_score,away_score,hc_line,hc_home,hc_away,ou_line,over,under,home_underlying,away_underlying
2020-09-28 00:30:00,FC Dallas,Orlando City,0,0,-0.25,2.03,1.88,3.0,1.97,1.92,1.6892173255497818,1.4861713268997705
2020-09-28 02:00:00,Vancouver Whitecaps,Portland Timbers,0,1,1.25,1.85,2.0700000000000003,3.25,1.89,2.0,1.1572725607962617,2.377121656291558
2020-09-28 02:30:00,Los Angeles Galaxy,Seattle Sounders,1,3,0.0,1.93,1.97,2.75,1.84,2.06,1.5427923861963495,1.5263834865036863
2020-09-28 02:30:00,Los Angeles FC,San Jose Earthquakes,1,2,-2.25,1.97,1.93,4.25,1.92,1.96,3.400615034047375,1.071481569751166
2020-10-03 20:30:00,Orlando City,New York Red Bulls,3,1,-0.25,1.85,2.06,3.0,2.0,1.89,1.7615822775746488,1.382685392048705
2020-10-03 23:00:00,DC United,Atlanta Utd,0,4,-0.25,2.09,1.83,2.25,1.95,1.93,1.3091856743605819,1.1336049812766171
2020-10-03 23:30:00,Toronto FC,Philadelphia Union,2,1,-0.5,1.88,2.03,3.0,1.94,1.94,1.9086852307813045,1.2874308931549274
2020-10-03 23:30:00,New England Revolution,Nashville SC,0,0,-0.75,2.08,1.84,2.5,2.06,1.84,1.6430996227929093,0.9445078527785932
2020-10-03 23:30:00,Club de Foot Montreal,Chicago Fire,2,2,0.75,1.97,1.93,3.0,1.85,2.05,1.2471531881618891,2.0619825637920637
2020-10-04 00:00:00,Minnesota United,FC Cincinnati,2,0,-0.5,1.89,2.02,2.75,1.95,1.93,1.7728026813516413,1.1603689592219144
2020-10-04 00:00:00,Houston Dynamo,Sporting Kansas City,1,2,0.0,2.01,1.9,3.0,1.99,1.89,1.553145145564995,1.5994520192542296
2020-10-04 00:00:00,Inter Miami,New York City,2,3,-0.25,2.06,1.85,2.75,1.94,1.94,1.5642184337855323,1.3841352162561216
2020-10-04 00:30:00,FC Dallas,Columbus Crew,2,2,0.0,1.94,1.96,2.75,2.01,1.88,1.444312623391087,1.4364753574239009
2020-10-04 02:00:00,Seattle Sounders,Vancouver Whitecaps,3,1,-1.75,1.94,1.94,3.5,2.0,1.87,2.72900235849455,0.8873873845538806
2020-10-04 02:30:00,San Jose Earthquakes,Los Angeles Galaxy,2,1,0.25,1.99,1.92,3.25,1.9,1.99,1.6036760667973518,1.913348945582085
2020-10-05 01:30:00,Real Salt Lake,Los Angeles FC,1,3,0.5,2.05,1.86,3.25,1.95,1.93,1.4054956767792757,2.048890564019609
2020-10-07 00:30:00,Nashville SC,Minnesota United,0,0,-0.25,2.03,1.88,2.5,2.02,1.88,1.4260541482578257,1.2095742901991338
2020-10-07 23:00:00,New York Red Bulls,Inter Miami,1,2,-0.25,2.02,1.88,2.75,1.88,2.01,1.6146622055179685,1.403489794534334
